brand,price,tag
标致,4.20,
大众,8.50,0过户
特斯拉,31.98,
荣威,0.95,0过户
特斯拉,37.00,急售
smart,12.00,
奔驰,23.50,急售
标致,11.38,0过户
保时捷,27.28,0过户
雪佛兰,5.50,0过户
福特,5.00,
奥迪,17.00,0过户
日产,105.00,急售、0过户
捷豹,26.00,急售、0过户
保时捷,97.00,急售、0过户
奔驰,83.90,急售、0过户
宝马,26.60,急售、0过户
丰田,51.80,急售
奔驰,75.00,急售、0过户
菲亚特,13.80,急售
雷克萨斯,135.00,急售、0过户
江淮,0.95,
丰田,39.80,急售、0过户
雪佛兰,6.68,0过户
凯迪拉克,25.50,0过户
宝马,14.00,0过户
宝马,58.80,
保时捷,77.80,0过户
奔驰,19.80,
大众,18.38,里程少、0过户
保时捷,24.80,0过户
福特,14.80,0过户
路虎,127.00,0过户
奔驰,96.80,0过户
林肯,42.80,里程少、0过户
特斯拉,18.98,急售
北京,31.00,急售、准新车、0过户
现代,5.28,0过户
宝马,16.30,
奔驰,27.00,0过户
奔驰,22.68,0过户
福特,7.98,0过户
大众,11.98,0过户
保时捷,24.50,0过户
特斯拉,38.50,
日产,7.28,
别克,9.68,
现代,3.88,0过户
奔驰,16.50,
福特,5.00,
奔驰,22.30,0过户
Jeep,38.50,
凯迪拉克,29.50,里程少
smart,12.00,
福特,8.80,0过户
零跑汽车,5.98,0过户
别克,13.80,
福特,19.60,急售、0过户
欧宝,2.98,急售
大众,3.50,0过户
丰田,18.80,0过户
丰田,9.00,里程少、0过户
大众,10.50,0过户
大众,17.50,0过户
领克,16.50,准新车、0过户
雪铁龙,8.18,急售、0过户
MINI,11.00,急售、0过户
宝马,12.50,
宝马,53.00,急售、0过户
凯迪拉克,15.50,急售、0过户
保时捷,20.50,急售
奔驰,20.98,
五菱汽车,3.98,准新车、0过户
吉利汽车,7.98,里程少、0过户
大众,6.68,0过户
凯迪拉克,16.00,0过户
福特,6.00,0过户
保时捷,38.50,
奥迪,16.60,0过户
马自达,14.50,0过户
奥迪,10.38,
丰田,33.98,0过户
斯巴鲁,4.98,0过户
奔驰,15.50,急售
凯迪拉克,14.80,急售
宝马,23.50,0过户
日产,26.50,急售
奔驰,15.90,0过户
本田,10.30,0过户
宝马,16.50,
保时捷,32.80,急售、0过户
别克,14.90,0过户
雪铁龙,9.20,急售、0过户
奥迪,22.00,急售
长安欧尚,6.90,0过户
保时捷,63.00,准新车、0过户
沃尔沃,18.88,0过户
大众,30.88,0过户
奥迪,15.50,0过户
现代,4.88,
大众,10.20,0过户
奥迪,6.88,0过户
雪佛兰,6.58,0过户
宝马,9.50,
飞凡汽车,9.99,0过户
五菱汽车,2.56,急售、里程少、0过户
英菲尼迪,22.00,里程少、0过户
奔驰,11.50,急售
奥迪,16.88,
宝马,9.50,0过户
大众,10.60,急售、0过户
福特,15.50,急售、0过户
奔驰,19.38,急售、0过户
别克,9.10,急售、0过户
福特,14.58,急售、0过户
捷途,8.68,0过户
福特,20.58,
雷克萨斯,12.38,0过户
领克,10.18,0过户
福特,5.00,
奥迪,11.28,0过户
smart,12.00,
大众,9.68,
哈弗,6.80,0过户
日产,20.00,急售、0过户
玛莎拉蒂,45.50,
奔驰,100.00,
路虎,75.50,
奔驰,16.80,0过户
宝马,15.00,0过户
别克,12.00,
保时捷,78.00,0过户
路虎,35.50,
本田,19.00,0过户
高合汽车,46.50,0过户
MINI,13.00,
比亚迪,10.68,准新车、0过户
奥迪,17.38,急售、0过户
大众,4.50,急售、0过户
宝马,5.80,
宝马,10.88,0过户
别克,5.00,
奥迪,71.00,
斯巴鲁,5.50,0过户
大众,2.98,急售、0过户
奔驰,14.00,急售
福特,13.00,急售
日产,4.00,
宝马,17.80,
Jeep,9.00,急售、0过户
宝马,23.80,急售、0过户
宝沃,5.98,
福特,5.50,0过户
别克,5.80,0过户
福特,15.50,
大众,6.58,0过户
马自达,7.88,0过户
玛莎拉蒂,40.80,
长安,4.60,0过户
宝马,7.98,0过户
福特,5.00,
别克,4.50,0过户
魏牌,11.80,0过户
威马汽车,13.80,0过户
零跑汽车,4.98,0过户
丰田,5.98,0过户
别克,2.20,急售
宝马,25.80,
大众,5.00,急售、0过户
本田,4.00,急售、0过户
特斯拉,17.98,
马自达,8.50,0过户
奔驰,13.50,
保时捷,87.00,
福特,5.00,
丰田,5.68,急售、0过户
红旗,10.60,
哈弗,15.20,准新车、0过户
奥迪,33.18,0过户
大众,18.00,急售、0过户
标致,4.50,
奥迪,20.50,
宝骏,3.18,0过户
奔驰,33.20,0过户
吉利汽车,13.98,急售、0过户
奔驰,6.50,急售
大众,16.30,
大众,2.38,
Jeep,6.25,
长安,9.88,0过户
雪佛兰,2.38,急售、0过户
奔驰,25.68,
奔驰,38.30,急售、0过户
哈弗,9.88,0过户
现代,5.88,0过户
宝马,8.80,0过户
雪佛兰,2.55,
smart,12.00,
大众,11.18,0过户
路虎,36.80,急售、0过户
吉利汽车,11.58,0过户
大众,7.98,0过户
奥迪,16.89,急售、0过户
吉利汽车,6.30,0过户
大众,12.20,0过户
本田,9.98,急售、0过户
雪佛兰,2.00,急售
本田,12.30,0过户
马自达,2.98,
比亚迪,12.88,里程少、0过户
标致,5.18,0过户
宝马,48.88,
奥迪,13.98,
奇瑞,11.88,急售、准新车、0过户
大众,8.58,0过户
蔚来,28.88,0过户
奔驰,11.88,0过户
大众,5.88,
本田,9.18,0过户
长安深蓝,14.00,准新车、0过户
现代,7.50,
MINI,15.50,里程少、0过户
大众,16.88,急售
凯迪拉克,20.00,0过户
别克,12.00,
大众,6.88,0过户
大众,7.68,急售、0过户
大众,12.98,急售
别克,28.88,急售
哈弗,6.00,0过户
别克,12.50,0过户
大众,14.68,0过户
奔驰,31.80,急售
福特,5.00,
宝马,29.50,急售
路虎,33.50,0过户
保时捷,49.98,
吉利汽车,4.80,0过户
大众,8.28,0过户
捷达,4.60,急售、里程少
宝马,15.80,超值、急售
丰田,5.88,超值、0过户
丰田,8.80,超值、急售、0过户
日产,13.00,超值、0过户
奔驰,15.88,超值、0过户
宝马,42.00,超值、0过户
路虎,48.88,超值
奔驰,16.00,超值、急售、0过户
凯迪拉克,31.50,超值
领克,15.50,超值、0过户
MINI,17.50,超值、急售、里程少、0过户
宝马,17.50,超值、0过户
捷豹,23.58,超值、里程少、0过户
奥迪,12.28,超值
Jeep,24.80,超值、急售
奇瑞,11.88,超值、准新车、0过户
福特,25.60,超值、急售、0过户
宝马,27.88,超值、0过户
丰田,9.90,超值、0过户
特斯拉,20.80,超值、0过户
领克,11.30,超值、0过户
启辰,7.38,超值、急售、0过户
长安,1.50,
魏牌,7.88,超值、急售
思皓,7.58,超值、急售、里程少、0过户
宝马,14.80,超值、0过户
奔腾,2.68,超值、急售、0过户
宝马,24.98,超值、急售、0过户
英菲尼迪,35.00,超值、急售、0过户
smart,12.00,
广汽传祺,10.50,
起亚,6.28,超值、急售
凯迪拉克,15.58,超值、急售、0过户
宝马,86.88,超值、0过户
宝沃,6.80,超值
Jeep,9.00,超值、急售
雷克萨斯,8.80,0过户
奔驰,13.30,超值、急售、0过户
smart,3.60,超值、急售
领克,9.40,超值、急售
魏牌,9.10,超值、急售
现代,6.98,超值、急售
宝骏,0.58,超值、急售
福特,5.00,
标致,1.20,0过户
理念,9.80,超值、0过户
恒润汽车,5.00,超值、里程少、0过户
奥迪,16.38,超值、急售
奔驰,16.20,急售
本田,8.50,超值、急售、0过户
奔驰,17.50,
小鹏,21.58,超值
大众,13.38,超值
大众,11.38,超值、急售、0过户
大众,5.78,超值、急售
大众,10.60,超值、急售、0过户
MINI,12.68,超值、急售
丰田,16.98,超值、急售、里程少
小鹏,27.80,里程少
奥迪,9.98,超值、急售
保时捷,28.50,超值、急售
奥迪,30.00,0过户
凯迪拉克,17.50,0过户
MINI,12.00,超值
奥迪,13.80,0过户
宝马,14.80,超值
宝马,11.50,超值、急售
日产,37.80,超值
奥迪,13.20,超值、急售
奥迪,10.30,
广汽传祺,11.40,0过户
宝马,15.68,
欧拉,6.88,里程少、0过户
奥迪,35.38,里程少、0过户
奥迪,19.60,里程少、0过户
特斯拉,19.60,超值、急售
本田,5.80,0过户
现代,9.80,超值、0过户
小鹏,15.50,超值、里程少、0过户
宝马,50.00,0过户
大众,13.00,0过户
吉利汽车,5.50,0过户
长安,3.68,
别克,10.38,
宝马,21.00,超值、0过户
别克,12.00,
日产,53.00,里程少、0过户
荣威,19.88,超值、急售、里程少、0过户
本田,12.68,
宝马,10.68,
凯迪拉克,20.98,超值、急售、0过户
smart,12.00,
比亚迪,13.48,里程少
宝马,17.50,0过户
长城,2.20,
丰田,22.58,
北京汽车,3.80,
现代,2.98,
smart,6.30,0过户
本田,16.50,0过户
凯迪拉克,3.98,0过户
马自达,9.80,里程少、0过户
吉利汽车,7.80,准新车、0过户
奥迪,28.60,里程少、0过户
奔驰,18.80,0过户
吉利汽车,11.60,准新车、0过户
特斯拉,26.80,0过户
大众,14.80,
大众,10.98,里程少
日产,4.68,急售、0过户
奔驰,35.60,急售、0过户
奥迪,15.30,急售、0过户
别克,12.00,
凯迪拉克,19.98,急售
奔驰,19.80,急售、0过户
宝马,14.80,0过户
大众,1.30,急售
大众,5.98,急售、0过户
MINI,15.80,0过户
smart,12.00,
比亚迪,4.38,急售、0过户
标致,1.38,0过户
日产,15.30,0过户
宝马,4.58,
本田,4.30,
奔驰,28.80,超值
Jeep,9.68,超值、0过户
大众,12.00,0过户
特斯拉,21.80,超值
保时捷,52.00,0过户
大众,8.88,超值、0过户
大众,13.50,0过户
奔驰,8.20,0过户
江淮,3.50,0过户
丰田,18.88,0过户
奔驰,56.00,0过户
宝马,33.50,急售
大众,11.58,0过户
现代,1.50,急售、0过户
丰田,28.50,急售、0过户
大众,14.88,里程少、0过户
斯柯达,8.38,0过户
Jeep,8.88,0过户
比亚迪,18.50,准新车、0过户
大众,15.88,0过户
日产,11.98,0过户
雪佛兰,4.38,0过户
大众,5.28,0过户
丰田,49.88,0过户
别克,2.00,急售
宝马,28.00,0过户
别克,12.00,
长安,6.68,0过户
大众,9.18,0过户
现代,4.50,急售、0过户
别克,9.88,0过户
马自达,13.80,0过户
福特,5.00,
现代,1.64,0过户
领克,12.80,0过户
雪铁龙,1.80,0过户
三菱,10.38,急售、0过户
大众,8.00,0过户
本田,17.00,急售、0过户
丰田,11.88,
凯迪拉克,9.98,0过户
凯迪拉克,12.60,0过户
斯柯达,9.28,
奥迪,23.00,0过户
丰田,23.68,急售、0过户
奔驰,28.80,急售、0过户
丰田,8.00,0过户
马自达,13.80,里程少、0过户
宝马,88.00,0过户
大众,9.88,0过户
凯迪拉克,7.20,
起亚,8.20,0过户
本田,14.60,0过户
马自达,2.00,
雪铁龙,4.58,0过户
五菱汽车,4.68,0过户
沃尔沃,22.80,0过户
大众,2.00,急售
丰田,33.00,准新车、0过户
奔驰,6.60,
吉利汽车,4.00,0过户
路虎,92.00,急售
特斯拉,23.88,急售、准新车、0过户
福特,5.00,
吉利汽车,10.00,里程少
丰田,5.50,急售、0过户
大众,8.00,0过户
奔驰,10.00,
别克,12.00,
丰田,2.50,0过户
比亚迪,18.28,急售、0过户
日产,3.20,急售
现代,5.00,0过户
丰田,7.80,急售、0过户
奔驰,16.00,0过户
上汽大通MAXUS,8.38,急售、0过户
别克,4.28,急售、0过户
上汽大通MAXUS,6.50,
宾利,150.00,0过户
大众,1.30,
大众,9.60,急售、0过户
大众,8.70,
丰田,2.80,0过户
玛莎拉蒂,58.80,0过户
雷克萨斯,11.00,
奥迪,16.98,急售、0过户
福特,1.98,0过户
丰田,25.30,0过户
奔驰,39.00,0过户
大众,10.20,急售、0过户
雷克萨斯,19.00,0过户
红旗,10.00,准新车、0过户
吉利汽车,6.68,急售、0过户
领克,8.48,急售、0过户
雪佛兰,1.38,急售
标致,2.80,急售、0过户
马自达,4.20,
丰田,7.30,
丰田,72.80,0过户
丰田,75.60,0过户
丰田,62.00,0过户
丰田,20.00,急售、里程少、0过户
福特,8.80,0过户
奔驰,31.00,
奥迪,13.00,0过户
福特,11.00,急售、0过户
奔驰,11.50,急售
沃尔沃,13.88,0过户
奇瑞,0.68,0过户
奇瑞,3.20,急售、0过户
别克,3.50,急售、0过户
别克,10.88,急售、0过户
哈弗,2.30,急售、0过户
沃尔沃,17.00,0过户
奔驰,41.80,里程少、0过户
别克,12.00,
丰田,9.98,0过户
大众,5.00,0过户
吉利汽车,3.98,0过户
本田,11.18,里程少、0过户
领克,9.18,0过户
smart,12.00,
哈弗,12.08,0过户
奔驰,20.00,0过户
别克,9.80,0过户
雷克萨斯,31.00,急售、0过户
大众,6.38,0过户
雪铁龙,1.88,急售、0过户
奥迪,11.00,急售、0过户
哈弗,3.50,0过户
丰田,4.60,0过户
奥迪,10.38,急售
本田,7.38,急售、0过户
奔驰,32.00,0过户
福特,5.78,0过户
宝马,46.00,急售、0过户
哈弗,5.50,0过户
众泰,1.20,0过户
雪佛兰,3.18,急售、0过户
北汽幻速,1.50,0过户
别克,12.00,
大众,2.30,急售
领克,12.80,准新车、0过户
福特,3.60,急售、0过户
哈弗,6.60,里程少、0过户
本田,3.88,急售、0过户
奔驰,11.50,
长安,1.00,
奔驰,3.50,0过户
奥迪,15.18,急售、0过户
凯迪拉克,13.00,0过户
大众,2.60,0过户
特斯拉,17.00,0过户
奔驰,37.50,0过户
长安,7.10,0过户
雪佛兰,7.00,0过户
奥迪,15.00,急售、0过户
福特,5.00,
奇瑞新能源,4.50,0过户
大众,15.88,0过户
雪铁龙,2.50,
马自达,1.10,0过户
别克,5.00,0过户
标致,3.28,0过户
宝马,15.20,0过户
福特,3.80,0过户
别克,3.58,0过户
哈弗,1.10,
宝马,24.80,0过户
Jeep,15.00,急售、0过户
大众,1.30,急售、0过户
丰田,4.88,急售、0过户
雪铁龙,1.20,0过户
雪佛兰,0.98,
丰田,6.00,
宝马,9.80,急售、0过户
雪佛兰,4.00,
福特,19.18,急售
奇瑞,0.38,0过户
别克,5.50,0过户
本田,7.60,0过户
雪佛兰,6.00,
哈弗,3.00,
奔驰,34.80,0过户
福特,5.00,
凯迪拉克,23.00,0过户
宝马,7.80,0过户
宝马,15.98,0过户
吉利汽车,5.70,0过户
奥迪,19.80,
宝马,12.00,0过户
日产,2.28,急售、0过户
别克,6.00,0过户
名爵,0.88,0过户
沃尔沃,20.88,0过户
smart,12.00,
宝马,12.00,急售、0过户
宝马,17.00,
沃尔沃,38.80,急售、0过户
大众,10.50,急售、0过户
中华,1.50,0过户
欧拉,5.00,急售、0过户
宝马,4.40,急售、0过户
宝马,12.50,
丰田,6.50,0过户
奔驰,15.38,0过户
宝骏,1.90,0过户
本田,7.00,0过户
起亚,6.00,0过户
标致,0.80,
路虎,70.00,0过户
福特,13.38,急售
大众,8.00,急售
捷豹,15.00,
丰田,3.20,0过户
奥迪,10.00,0过户
江铃,6.80,0过户
丰田,5.25,0过户
福特,2.30,0过户
丰田,13.00,0过户
奔驰,9.80,
奥迪,4.50,0过户
标致,0.80,0过户
路虎,8.68,0过户
奔驰,15.98,0过户
马自达,6.38,急售、0过户
吉利汽车,3.50,0过户
路虎,25.00,0过户
标致,1.50,0过户
荣威,0.80,0过户
沃尔沃,12.00,0过户
凯迪拉克,6.66,急售
奔驰,72.00,急售、0过户
奔驰,32.00,0过户
MINI,18.80,
宝马,56.00,0过户
北汽威旺,5.00,0过户
五菱汽车,2.20,急售、0过户
MINI,11.00,急售
保时捷,152.00,准新车、0过户
保时捷,62.00,
奔驰,57.00,急售
大众,7.80,急售
smart,12.00,
大众,15.88,急售、0过户
大众,7.80,急售、0过户
马自达,5.00,
雪佛兰,2.00,
岚图汽车,17.50,急售、0过户
奔驰,17.20,0过户
雪佛兰,4.50,急售、0过户
凯迪拉克,15.50,
本田,2.50,
铃木,2.50,0过户
长城,1.26,0过户
雪铁龙,1.51,0过户
奔驰,15.00,
零跑汽车,6.50,准新车、0过户
别克,3.60,0过户
吉利汽车,3.98,0过户
别克,12.00,
福特,1.98,0过户
标致,3.28,急售、0过户
大众,5.90,急售、0过户
雪佛兰,1.80,0过户
雪铁龙,3.30,0过户
大众,8.00,0过户
宝马,15.60,急售、0过户
长安凯程,2.30,急售、0过户
别克,1.30,0过户
五菱汽车,5.10,0过户
宝马,10.80,
大众,2.85,急售、0过户
宝马,27.80,0过户
大众,6.00,0过户
奔驰,160.00,里程少、0过户
现代,0.70,急售
保时捷,55.00,0过户
奔驰,16.80,0过户
大众,4.18,急售、0过户
路虎,90.00,0过户
特斯拉,22.00,0过户
路虎,14.00,
宝马,42.00,急售、里程少、0过户
别克,12.00,
保时捷,33.68,急售、0过户
路虎,32.00,急售、0过户
大众,10.30,0过户
凯迪拉克,10.60,急售、0过户
奔驰,8.50,急售
大众,7.00,急售、0过户
丰田,100.00,0过户
雷克萨斯,14.00,0过户
标致,2.80,急售
特斯拉,31.50,准新车、0过户
本田,29.80,准新车、0过户
日产,5.60,0过户
荣威,1.00,
路虎,17.00,
Jeep,4.00,
斯柯达,1.98,0过户
福特,5.00,
奔腾,3.00,0过户
长安欧尚,3.30,0过户
丰田,19.00,
特斯拉,26.00,
雪佛兰,5.80,
日产,9.00,急售、0过户
沃尔沃,25.00,里程少、0过户
哈弗,6.00,0过户
大众,7.35,急售、0过户
福特,3.00,急售、0过户
宝马,9.50,0过户
标致,10.00,0过户
马自达,2.80,
雪佛兰,4.38,0过户
广汽传祺,2.00,急售、0过户
本田,2.98,急售、0过户
捷豹,30.00,0过户
丰田,10.80,0过户
宝马,8.00,
雪铁龙,3.38,0过户
别克,4.75,0过户
奔驰,11.18,
smart,12.00,
奇瑞,7.80,0过户
岚图汽车,17.20,0过户
斯巴鲁,3.50,
荣威,4.98,0过户
长安,4.98,0过户
标致,5.28,0过户
大众,4.50,
别克,12.00,
本田,3.50,0过户
宝马,11.00,急售、0过户
大众,2.30,0过户
宝马,75.00,急售、0过户
大众,9.50,0过户
奥迪,8.00,0过户
雪铁龙,0.88,
大众,4.98,0过户
大众,1.30,0过户
本田,15.38,
凯迪拉克,16.00,0过户
福特,3.00,0过户
凯迪拉克,9.30,0过户
大众,3.80,急售
启辰,9.00,急售、里程少、0过户
比亚迪,9.68,准新车、0过户
奥迪,30.00,0过户
本田,6.38,
smart,12.00,
奔驰,13.80,急售、0过户
别克,1.50,0过户
比亚迪,5.00,
路虎,17.30,
福特,3.00,
奔驰,38.60,0过户
宝骏,3.90,0过户
大众,6.68,0过户
雪铁龙,5.00,0过户
宝马,13.80,
大众,7.38,里程少
岚图汽车,15.88,0过户
大众,1.88,0过户
奥迪,11.00,0过户
大众,45.00,急售、0过户
丰田,16.88,0过户
林肯,80.00,急售
Jeep,8.00,0过户
路虎,8.00,
现代,8.80,急售、0过户
日产,6.80,0过户
雷克萨斯,20.00,里程少、0过户
奥迪,2.90,急售
MINI,10.58,0过户
沃尔沃,8.50,0过户
宝马,34.00,0过户
福特,2.30,
金旅,2.70,0过户
凯迪拉克,3.00,
别克,13.00,急售、0过户
沃尔沃,9.00,0过户
奥迪,15.50,
别克,12.00,
福特,6.00,0过户
奔驰,12.80,0过户
大众,14.00,0过户
沃尔沃,5.90,0过户
大众,8.80,急售、0过户
MINI,10.80,急售、0过户
宝马,5.00,
丰田,13.00,0过户
大众,4.00,急售、0过户
雪铁龙,1.80,急售
凯迪拉克,8.38,急售、0过户
大众,1.80,急售、0过户
本田,14.98,急售、0过户
丰田,25.60,急售、0过户
别克,2.60,0过户
Jeep,7.80,急售、0过户
奔驰,31.58,急售、0过户
雪佛兰,0.60,0过户
福特,5.00,
三菱,7.80,
马自达,10.00,急售、0过户
宝马,15.00,0过户
smart,12.00,
丰田,6.80,急售
捷达,9.50,0过户
玛莎拉蒂,35.98,0过户
奥迪,7.50,0过户
宝马,59.28,急售、0过户
奔驰,26.60,0过户
沃尔沃,9.00,0过户
捷豹,13.00,急售
雪铁龙,1.30,
英菲尼迪,26.00,0过户
宝马,72.00,0过户
岚图汽车,16.30,0过户
沃尔沃,8.50,急售、0过户
长安,5.00,0过户
林肯,9.50,急售、0过户
宝马,6.80,0过户
丰田,9.68,0过户
荣威,2.50,0过户
北京,11.80,
大众,8.50,0过户
大众,4.20,急售
哈弗,7.38,0过户
别克,0.80,
本田,14.80,0过户
大众,8.20,0过户
沃尔沃,6.00,
别克,12.00,
五十铃,13.98,0过户
荣威,3.99,
比亚迪,20.50,急售、准新车、0过户
雷克萨斯,35.00,急售、0过户
福特,8.30,急售、0过户
别克,10.90,急售、0过户
宝马,6.80,急售
红旗,7.50,0过户
奥迪,18.60,
菲亚特,1.98,0过户
东风风神,6.40,准新车、0过户
现代,4.30,急售、0过户
起亚,7.88,0过户
奔腾,1.60,0过户
